File,Path,Class,LOC,CCM (Complexity),Total Methods,Avg CCM per Method,WMC = sum(method complexities),DIT = depth of inheritance,NOC = immediate child classes,CBO = coupled classes,RFC = WMC + distinct method calls,LCOM = 0 cohesive / 1 low cohesion
ActivityController.php,Controllers/ActivityController.php,,203,43,4,10.75,43,0,0,4,52,1
AuthController.php,Controllers/AuthController.php,AuthController,134,22,5,4.4,22,0,0,3,30,1
BookingController.php,Controllers/BookingController.php,BookingController,126,25,2,12.5,25,0,0,4,32,0
DBController.php,Controllers/DBController.php,DBController,36,5,2,2.5,5,0,0,1,6,0
DocumentController.php,Controllers/DocumentController.php,,112,30,3,10,30,0,0,3,35,0
EmergencyController.php,Controllers/EmergencyController.php,,24,4,0,4,4,0,0,3,6,0
ExpenseController.php,Controllers/ExpenseController.php,,39,8,0,8,8,0,0,4,12,0
InviteMemberController.php,Controllers/InviteMemberController.php,,90,15,1,15,15,0,0,3,21,1
PaymentController.php,Controllers/PaymentController.php,PaymentController,147,49,1,49,49,0,0,3,60,0
TripController.php,Controllers/TripController.php,,306,91,5,18.2,91,0,0,3,104,1
TripMemberController.php,Controllers/TripMemberController.php,,32,8,0,8,8,0,0,2,10,0
activity.php,Models/activity.php,Activity,72,10,5,2,10,0,0,0,14,0
admin.php,Models/admin.php,Admin,5,2,0,2,2,0,0,0,2,0
booking.php,Models/booking.php,Booking,11,2,0,2,2,0,0,0,2,0
document.php,Models/document.php,Document,8,2,0,2,2,0,0,0,2,0
emergencyContact.php,Models/emergencyContact.php,EmergencyContact,43,6,3,2,6,0,0,0,10,0
expense.php,Models/expense.php,Expense,48,6,4,1.5,6,0,0,0,10,0
itinerary.php,Models/itinerary.php,Itinerary,12,2,0,2,2,0,0,0,2,0
leader.php,Models/leader.php,Leader,5,2,0,2,2,0,0,0,2,0
member.php,Models/member.php,Member,5,2,0,2,2,0,0,0,2,0
notification.php,Models/notification.php,Notification,9,3,0,3,3,0,0,0,3,0
payment.php,Models/payment.php,Payment,14,2,0,2,2,0,0,0,2,0
role.php,Models/role.php,Role,11,3,0,3,3,0,0,0,3,0
Trip.php,Models/Trip.php,Trip,33,3,0,3,3,0,0,1,3,0
tripMember.php,Models/tripMember.php,TripMember,6,2,0,2,2,0,0,0,2,0
TripRepository.php,Models/TripRepository.php,TripRepository,19,2,2,1,2,0,0,1,4,0
users.php,Models/users.php,User,18,3,0,3,3,0,0,0,3,0
